,0
EX_26dap_M_m,1.0
EX_4hbz_m,0.00019808990998923878
EX_ala_L_m,0.1550621053757937
EX_btn_m,0.0001134872495785604
EX_ca2_m,0.7732213849659821
EX_chol_m,3.519860331941667e-06
EX_cl_m,15.648229110841584
EX_cobalt2_m,0.00020126331861839862
EX_cu2_m,0.0014867510674681874
EX_fe2_m,0.0004553153072492296
EX_fe3_m,0.0004553153072492296
EX_fol_m,0.0005942697299677335
EX_fru_m,0.443901642965899
EX_fum_m,1.0
EX_gal_m,0.0990298814093386
EX_gchola_m,1.0
EX_glc_D_m,0.5650545814301215
EX_glu_L_m,0.42978020087876945
EX_gly_m,0.15321228082795801
EX_glyc_m,1.0
EX_glycys_m,0.005590509946249211
EX_gthox_m,9.904495499461939e-05
EX_h2o_m,691.4222954070087
EX_his_L_m,0.0584443946016856
EX_hxan_m,0.28900043487370386
EX_ile_L_m,0.12053143853138373
EX_k_m,0.34798188156518295
EX_leu_L_m,0.1953982745927958
EX_malt_m,0.03505774269833805
EX_melib_m,0.0037136361776513027
EX_met_L_m,0.04470310447890555
EX_mg2_m,0.6056195570184459
EX_mn2_m,0.003113681663286946
EX_mnl_m,0.007090376593230499
EX_mqn7_m,0.004049610416666669
EX_na1_m,0.7186511877860826
EX_nh4_m,0.9999999999999993
EX_o2_m,1.0010000000000001
EX_ocdca_m,0.14937890393539371
EX_ocdcea_m,0.4233048289106931
EX_phe_L_m,0.08632783075073742
EX_pheme_m,0.00020126331861839862
EX_pi_m,0.05929273291220081
EX_pro_L_m,0.2242401014500937
EX_ribflv_m,0.00039617981997847745
EX_sbt_D_m,0.00013723309535284834
EX_ser_L_m,1.1557681828533437
EX_sheme_m,0.00019808990998923878
EX_so4_m,0.2800729527132931
EX_spmd_m,0.00019808990998923878
EX_sucr_m,0.8436995898779767
EX_tchola_m,1.0
EX_thm_m,0.022532752085950885
EX_tyr_L_m,0.06520511327521698
EX_val_L_m,0.1574594474316872
EX_zn2_m,0.006291679412664429
EX_arg_L_m,0.08482112875925059
EX_cgly_m,1.0000000000000113
EX_etoh_m,0.9768088146140667
EX_glygln_m,0.6158861056212864
EX_lcts_m,0.017195061270589503
EX_mqn8_m,0.0001250133472726708
EX_nac_m,0.0012860685235917102
EX_pnto_R_m,0.0007988370000007924
EX_pydx_m,3.011979999956624e-05
EX_pydxn_m,1.3228850226080003e-05
EX_rib_D_m,1.0
EX_thymd_m,9.705747001294801e-05
EX_trp_L_m,0.018980884827141782
EX_ala_D_m,0.008603592900017014
EX_alaasp_m,1.0
EX_nmn_m,0.00010659256187367169
EX_ttdca_m,0.12588116683270084
EX_asp_L_m,0.9972140058333351
EX_ddca_m,0.056079779882457506
EX_12dgr180_m,0.006311359188330552
EX_alagln_m,0.12867809035711553
EX_glyasn_m,0.10334889323556151
EX_ptrc_m,0.004349678394807937
EX_but_m,0.10972648516638124
EX_thr_L_m,0.10790451917071293
EX_cellul_m,0.1
EX_csn_m,1.0
EX_asn_L_m,0.9552403219500003
EX_ins_m,0.18870818531476283
EX_lys_L_m,0.13882670779111234
EX_no3_m,0.9999999999999991
EX_hdca_m,0.3866101562639681
EX_pydam_m,1.3227036351899585e-05
EX_cys_L_m,0.031299298492934585
EX_4abz_m,0.00032344946221973597
EX_chsterol_m,0.005134535457780667
EX_strch1_m,0.13766518991721097
EX_strch2_m,3.9372819943479584e-05
EX_ncam_m,0.0006065326928399338
EX_ura_m,0.0008001092083572692
EX_gthrd_m,0.0001134872495785604
EX_2dmmq8_m,0.004287769369375054
EX_arab_D_m,0.0020694269999999987
EX_rbflvrd_m,9.119766525010725e-05
EX_lnlc_m,0.2291235368672184
EX_gln_L_m,0.21049758623740228
EX_h2s_m,0.0048469766984055185
EX_q8_m,0.3761475738749722
EX_5mthf_m,5.392288487595325e-07
EX_core2_m,1.0
EX_core3_m,1.0
EX_core4_m,1.0
EX_core5_m,1.0
EX_core6_m,1.0
EX_core7_m,1.0
EX_core8_m,1.0
EX_gncore1_m,1.0
EX_gncore2_m,1.0
EX_thf_m,5.575122201638942e-07
EX_indole_m,0.08084955080000011
EX_mal_L_m,0.2568194783884918
EX_no2_m,0.03095194951402258
EX_orn_m,0.0031379649999997428
EX_3mop_m,0.0012247999999999227
EX_acgam_m,0.3388716744645145
EX_adn_m,0.04168180821499997
EX_dad_2_m,0.004391190335572337
EX_gam_m,1.0
EX_arab_L_m,0.00232424197111869
EX_glytyr_m,0.021837054066665917
EX_lanost_m,1.7150249999999953e-05
EX_ade_m,0.00030552669999961733
EX_cit_m,0.00019808990998923878
EX_gsn_m,0.000808062800000014
EX_cytd_m,1.0000000000000007
EX_alathr_m,0.999999999999999
EX_dgsn_m,0.002766516589775156
EX_hspg_degr_10_m,3.892184415543731e-06
EX_glyc3p_m,0.9841101624999997
EX_amet_m,0.9999999999999999
EX_starch1200_m,0.012745594437809097
EX_dcyt_m,0.00025184202760542007
EX_glyglu_m,0.006151554539667425
EX_gua_m,0.0023782800004953364
EX_xan_m,0.141530834036386
EX_tsul_m,0.6112909739186879
EX_h_m,1.0
EX_xylt_m,0.0005915378538217959
EX_lactl_m,1.0
EX_din_m,0.00015131949999824812
EX_chor_m,0.004029738000000001
EX_for_m,0.6650373469888873
EX_metala_m,0.0003125763159136285
EX_succ_m,1.0
EX_glymet_m,0.003878256099999974
EX_alaglu_m,0.0006927758000000485
EX_chols_m,3.7018999999999992e-06
EX_alahis_m,0.0007227534583333521
EX_amp_m,0.0009379740000005677
EX_pyr_m,0.9999999999999997
EX_glcn_m,0.0019563950625000035
EX_cspg_c_degr_m,5.758211111150935e-06
EX_acisnzd_m,0.004224971824774881
EX_etha_m,0.20306387273911786
EX_duri_m,0.22082211413915065
EX_uri_m,0.04255502433795111
EX_glu_D_m,1.8061e-06
EX_ac_m,0.12839741022831533
EX_dhna_m,7.913850000000002e-05
EX_metsox_S_L_m,0.000152571999999966
EX_tre_m,1.0
EX_pime_m,2.853206966690891e-06
EX_sucbz_m,1.16184333333047e-05
EX_glc3meacp_m,0.00010624099999989589
EX_akg_m,0.0001373936
EX_datp_m,0.23377941454616533
EX_gtp_m,5.9214031578947376e-05
EX_acald_m,0.9999999999999998
EX_xyl_D_m,1.0
EX_pydx5p_m,0.0002689411285714538
EX_urea_m,0.9981525086875003
EX_drib_m,0.002614303400001461
EX_rmn_m,0.08832018520074714
EX_5aop_m,0.0004945358392233018
EX_adocbl_m,9.690020000000355e-05
EX_nchlphncl_m,0.003662073200000001
EX_stys_m,0.049435408342239404
EX_lnlnca_m,0.017347237076263334
EX_2obut_m,0.9999999999999987
EX_no_m,1.0
EX_acmana_m,0.00033501040721217333
EX_srv_m,0.0011164515000002817
EX_glyasp_m,0.17933426653021
EX_cspg_c_m,0.017053183892336565
